중국어(간체)	한어병음	뜻
一	yī	1
二	èr	2
三	sān	3
四	sì	4
五	wǔ	5
六	liù	6
七	qī	7
八	bā	8
九	jiǔ	9
十	shí	10
你	nǐ	너
好	hǎo	"좋다, 안녕하다"
们	men	~들(복수)
再见	zàijiàn	"잘 가, 또만나"
明天	míngtiān	내일
见	jiàn	보다
同学	tóngxué	학우
老师	lǎoshī	선생님
早	zǎo	"아침, 아침인사"
早上	zǎoshang	아침
我	wǒ	나
您	nín	당신(존칭)
他	tā	그
她	tā	그녀
下午	xiàwǔ	오후
一会儿	yíhuìr	잠시 후
谢谢	xièxie	고맙다
不	bù	아니다
不客气	Bú kèqi	괜찮아
客气	kèqi	예의를 차리다
对不起	duìbuqǐ	미안하다
没	méi	없다
关系	guānxi	관계
不谢	Bú xiè	고맙긴(천만에)
不好意思	bù hǎoyìsi	미안하다
没事儿	Méi shìr	괜찮아
事儿	shìr	일
拱手	gǒngshǒu	공수
晚上	wǎnshang	저녁
晚安	wǎn’ān	잘 자
大家	dàjiā	"여러분, 모두"
拜拜	báibái	"잘 가, 안녕"
好久	hǎojiǔ	오랫동안
恭喜	gōngxǐ	축하하다
慢走	Mànzǒu	조심히 가
